trial, epigraphRestored, ave_fitness, ave_generations, num_runs, population_size, generations, crossover_rate, mutation_rate, elite_size, improveThresh, stagThresh,best_epigraph,ave_fitness,ave_generations,population_size,generations,crossover_rate,mutation_rate,elite_size,num_runs,improveThresh,stagThresh
14, το αλεξανδρε ουδις πολιν,0.6562650463781418,100.0,10.0,20.0,100.0,0.7,0.01,1.0,0.0,100.0,,,,,,,,,,,
15, καλου αλεξανδρε ουδις ως,0.6002772602065771,53.1,10.0,20.0,1000.0,0.6,0.01,1.0,0.01,50.0,,,,,,,,,,,
16, τυρα αλεξανδρε ουδις υπατων,0.596508659347611,51.3,10.0,20.0,1000.0,0.6,0.01,1.0,0.01,50.0,,,,,,,,,,,
17, μα αλεξανδρε ουδις κυριε,0.6216631523574272,52.0,10.0,20.0,1000.0,0.6,0.1,1.0,0.01,50.0,,,,,,,,,,,
18, δυστρου αλεξανδρε ουδις δη,0.5971269626619611,51.4,10.0,20.0,1000.0,0.9,0.01,1.0,0.01,50.0,,,,,,,,,,,
19, ημων αλεξανδρε ουδις ως,0.5843699745019888,51.3,10.0,20.0,1000.0,0.1,0.01,1.0,0.01,50.0,,,,,,,,,,,
20, μνημιον αλεξανδρε ουδις το,0.8080907418021825,54.4,10.0,200.0,1000.0,0.6,0.01,1.0,0.01,50.0,,,,,,,,,,,
21, και αλεξανδρε ουδις των,0.8238550485643437,54.4,10.0,200.0,1000.0,0.6,0.01,1.0,0.01,50.0,,,,,,,,,,,
22, του αλεξανδρε ουδις ου,0.798853356471579,53.8,10.0,200.0,1000.0,0.6,0.1,1.0,0.01,50.0,,,,,,,,,,,
23, εν αλεξανδρε ουδις ετων,0.7515134940545256,53.1,10.0,200.0,1000.0,0.9,0.01,1.0,0.01,50.0,,,,,,,,,,,
24, ετους αλεξανδρε ουδις επι,0.8283253652065001,56.0,10.0,200.0,1000.0,0.1,0.01,1.0,0.01,50.0,,,,,,,,,,,
25, ου αλεξανδρε ουδις τριων,0.6015286354210329,51.02,100.0,20.0,500.0,0.6,0.01,1.0,0.1,50.0,,,,,,,,,,,
26, επι αλεξανδρε ουδις ινδικτιωνος,0.8903056921117773,105.41,100.0,500.0,1000.0,0.1,0.01,2.0,0.001,100.0,,,,,,,,,,,
27, και αλεξανδρε ουδις ετους,0.9609934384332124,53.88,50.0,1000.0,250.0,0.9,0.05,10.0,0.01,50.0,,,,,,,,,,,
28, ετους αλεξανδρε ουδις τω,0.7208503032859198,53.52,50.0,100.0,250.0,0.3,0.05,1.0,0.001,50.0,,,,,,,,,,,
29, ουδις αλεξανδρε ουδις ουδις,0.7309777196583338,24.3,10.0,100.0,1000.0,0.1,0.1,1.0,0.001,20.0,,,,,,,,,,,
30, ουδις αλεξανδρε ουδις ουδις,0.8430382951035569,103.7,10.0,250.0,250.0,0.6,0.05,10.0,0.01,100.0,,,,,,,,,,,
31, εις αλεξανδρε ουδις και,0.7875119017658885,104.59,100.0,200.0,1000.0,0.3,0.01,2.0,0.001,100.0,,,,,,,,,,,
32, ετων αλεξανδρε ουδις ου,0.7967752671794596,51.17,100.0,200.0,500.0,0.3,0.1,2.0,0.1,50.0,,,,,,,,,,,
33, ινδικτιωνος αλεξανδρε ουδις εις,0.9135351100229556,21.1,50.0,500.0,1000.0,0.3,0.01,5.0,0.1,20.0,,,,,,,,,,,
34, ουδις αλεξανδρε ουδις ουδις,0.8048817302470228,51.3,100.0,200.0,250.0,0.1,0.1,10.0,0.1,50.0,,,,,,,,,,,
35, τα αλεξανδρε ουδις κυριου,0.6193888387917221,101.44,25.0,20.0,1000.0,0.3,0.1,1.0,0.1,100.0,,,,,,,,,,,
36, ουδις αλεξανδρε ουδις ουδις,0.7629336458898319,23.07,100.0,100.0,250.0,0.6,0.1,10.0,0.01,20.0,,,,,,,,,,,
37, της αλεξανδρε ουδις μηνι,0.6895615388115793,21.12,100.0,50.0,1000.0,0.3,0.1,2.0,0.1,20.0,,,,,,,,,,,
